Date,Open,High,Low,Volume,Close
1930-02-03,268.4,271.5,264.8,428572.0,266.5
1930-02-04,266.5,270.0,264.4,364286.0,268.5
1930-02-05,268.9,274.0,268.9,491730.0,272.1
1930-02-06,272.1,273.6,267.0,418421.0,268.6
1930-02-07,268.6,271.6,265.4,382331.0,267.8
1930-02-08,267.8,270.5,266.5,417068.0,269.8
1930-02-10,269.8,271.8,266.4,357519.0,268.6
1930-02-11,268.6,272.7,267.0,374436.0,271.1
1930-02-13,271.1,275.0,269.0,413910.0,272.3
1930-02-14,272.3,274.2,268.6,395865.0,271.5
1930-02-15,271.5,272.2,267.9,391760.0,269.3
1930-02-17,269.3,271.6,265.3,371053.0,270.5
1930-02-18,270.5,274.4,269.0,428572.0,270.7
1930-02-19,270.7,273.4,267.1,393609.0,268.5
1930-02-20,268.5,269.7,262.4,412782.0,263.4
1930-02-21,263.4,266.7,262.0,289850.0,265.8
1930-02-24,265.8,266.3,261.4,261654.0,262.5
1930-02-25,262.5,264.6,259.8,296617.0,262.8
1930-02-26,262.9,269.9,262.9,340602.0,269.1
1930-02-27,269.1,272.1,267.4,373309.0,269.4
1930-02-28,269.4,272.6,267.4,362030.0,271.1
1930-03-01,271.1,274.2,270.4,326842.0,273.2
1930-03-03,273.2,274.5,269.6,409399.0,271.1
1930-03-04,271.1,275.2,269.2,390226.0,273.5
1930-03-05,273.5,276.1,269.0,419549.0,270.6
1930-03-06,270.6,276.1,269.0,378948.0,274.5
1930-03-07,274.5,278.5,272.8,410527.0,275.6
1930-03-08,275.6,276.9,274.0,401730.0,275.5
1930-03-10,275.5,279.4,273.7,450000.0,276.9
1930-03-11,276.9,278.8,274.3,297745.0,276.3
1930-03-12,276.3,277.1,270.0,504136.0,272.1
1930-03-13,272.1,274.8,269.6,434211.0,273.5
1930-03-14,273.5,275.8,270.4,445489.0,271.3
1930-03-15,271.3,271.9,269.0,426316.0,270.3
1930-03-17,270.3,274.8,268.9,410527.0,274.3
1930-03-18,274.3,279.8,273.9,479324.0,277.3
1930-03-19,277.3,281.1,274.9,489474.0,277.9
1930-03-20,277.9,282.2,275.3,367669.0,279.4
1930-03-21,279.4,284.1,276.8,522181.0,280.6
1930-03-22,280.6,281.7,274.6,453835.0,276.4
1930-03-24,276.4,280.9,275.0,465790.0,279.1
1930-03-25,279.1,284.0,278.2,510903.0,280.5
1930-03-26,280.5,285.4,279.3,567293.0,283.2
1930-03-27,283.2,286.1,280.0,531203.0,281.6
1930-03-28,281.6,287.1,280.8,571805.0,283.9
1930-03-29,283.9,287.9,283.0,529399.0,286.2
1930-03-31,283.9,289.1,282.9,581955.0,286.1
1930-04-01,286.1,290.2,283.6,609023.0,287.1
1930-04-02,287.1,290.2,283.6,597745.0,285.3
1930-04-03,285.3,288.2,282.3,522181.0,285.8
1930-04-04,285.8,291.4,284.9,668797.0,288.4
1930-04-05,288.4,291.1,286.2,595940.0,290.0
1930-04-07,290.0,293.4,287.0,619173.0,290.2
1930-04-08,290.2,291.9,286.0,528948.0,288.4
1930-04-09,288.4,293.4,287.4,585339.0,291.2
1930-04-10,291.2,296.0,289.2,640602.0,292.2
1930-04-11,292.2,296.4,288.4,634963.0,292.7
1930-04-12,292.7,294.5,290.2,601805.0,293.4
1930-04-14,293.4,295.8,289.7,468045.0,293.2
1930-04-15,293.2,295.7,289.3,475940.0,293.3
1930-04-16,293.3,297.3,290.3,496241.0,292.2
1930-04-17,292.2,296.1,290.4,444361.0,294.1
1930-04-21,294.1,295.9,287.2,506391.0,288.2
1930-04-22,288.2,291.4,284.3,517669.0,290.0
1930-04-23,290.0,293.3,286.3,628196.0,288.8
1930-04-24,288.8,290.6,283.7,589850.0,286.2
1930-04-25,286.2,289.3,283.7,533459.0,285.8
1930-04-26,285.8,287.7,283.3,555113.0,285.5
